"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SPS"
"10","P","Ricky Taylor","1","1:18.862","2:50.289","Green","Track","0.603","6.780","7.252","11.610","7.894","10.148","11.674","16.132","1.646","5.123","136.816"
"31","P","Dane Cameron","1","1:19.699","2:54.453","Green","Track","0.597","6.789","8.087","11.274","7.834","10.319","11.528","16.636","1.587","5.048","138.191"
"90","P","Marc Goossens","1","1:19.474","2:56.427","Green","Track","0.602","6.758","7.828","11.360","7.892","10.270","11.478","16.533","1.641","5.112","137.043"
"5","P","Christian Fittipaldi","1","1:19.929","2:58.398","Green","Track","0.599","6.735","7.990","11.633","7.964","10.343","11.624","16.394","1.602","5.045","137.730"
"3","GTLM","Jan Magnussen","1","1:22.386","3:16.428","Green","Track","0.650","7.222","7.913","11.501","8.219","10.491","12.143","16.915","1.761","5.571","126.923"
"52","PC","Robert Alon","1","1:24.873","3:16.804","Green","Track","0.622","6.946","7.807","12.580","8.428","10.778","12.125","17.672","1.953","5.962","132.637"
"911","GTLM","Patrick Pilet","1","1:23.611","3:18.188","Green","Track","0.644","7.138","7.967","11.477","8.197","10.506","12.229","18.260","1.714","5.479","128.106"
"912","GTLM","Earl Bamber","1","1:23.793","3:19.330","Green","Track","0.645","7.121","7.526","11.537","8.276","10.371","12.191","0.000","0.000","5.491","127.907"
"4","GTLM","Oliver Gavin","1","1:23.602","3:20.103","Green","Track","0.646","7.152","7.719","11.571","8.382","10.454","12.282","18.229","1.692","5.475","127.709"
"25","GTLM","Bill Auberlen","1","1:21.107","3:20.849","Green","Track","0.637","7.094","7.473","11.302","8.012","10.203","12.444","16.734","1.742","5.466","129.513"
"100","GTLM","John Edwards","1","1:20.993","3:22.922","Green","Track","0.643","7.133","7.422","11.417","8.246","10.434","12.162","16.407","1.700","5.429","128.305"
"8","PC","Alex Popow","1","1:23.702","3:29.423","Green","Track","0.619","6.927","7.860","11.934","8.345","10.874","12.433","17.722","1.711","5.277","133.279"
"62","GTLM","Toni Vilander","1","1:23.375","3:30.065","Green","Track","0.644","7.187","7.951","11.885","8.387","10.668","12.453","16.954","1.711","5.535","128.106"
"88","PC","Ashley Freiberg","1","1:23.626","3:33.905","Green","Track","0.613","6.863","7.771","11.912","8.265","10.941","12.196","18.156","1.681","5.228","134.584"
"85","PC","Stephen Simpson","1","1:28.242","3:36.486","Green","Track","0.612","6.860","8.250","12.264","8.355","11.505","13.179","20.317","1.671","5.229","134.804"
"60","P","John Pew","1","1:25.646","3:37.413","Green","Track","0.616","7.087","8.863","12.565","8.410","10.697","12.226","18.224","1.732","5.226","133.929"
"0","P","Andy Meyrick","1","1:25.628","3:37.650","Green","Track","0.588","7.146","8.989","12.678","8.228","10.898","12.101","18.354","1.618","5.028","140.306"
"66","GTLM","Joey Hand","1","1:23.813","3:39.013","Green","Track","0.679","7.367","8.118","11.674","8.293","10.424","12.200","17.912","1.714","5.432","121.502"
"68","GTLM","Alessandro Balzan","1","1:27.649","3:42.164","Green","Track","0.644","7.173","7.913","11.897","8.351","10.601","12.338","21.434","1.755","5.543","128.106"
"20","PC","Tomy Drissi","1","1:28.708","3:49.396","Green","Track","0.619","7.061","10.124","12.886","8.746","11.344","12.608","18.323","1.730","5.267","133.279"
"38","PC","Kyle Marcelli","1","1:22.864","3:56.943","Green","Track","0.608","6.860","7.901","12.000","8.210","10.429","12.826","17.179","1.666","5.185","135.691"
"10","P","Ricky Taylor","2","1:16.382","4:06.671","Green","Track","0.598","6.755","6.943","10.855","7.669","9.949","11.241","15.695","1.602","5.075","137.960"
"31","P","Dane Cameron","2","1:17.546","4:11.999","Green","Track","0.585","6.749","7.596","11.038","7.699","9.905","11.302","16.040","1.591","5.041","141.026"
"90","P","Marc Goossens","2","1:18.359","4:14.786","Green","Track","0.596","6.697","7.428","11.143","7.913","10.330","11.425","16.072","1.648","5.107","138.423"
"5","P","Christian Fittipaldi","2","1:18.167","4:16.565","Green","Track","0.592","6.669","7.347","11.010","7.843","10.007","11.541","16.486","1.611","5.061","139.358"
"54","PC","Jonathan Bennett","1","1:23.681","4:18.073","Green","Track","0.610","6.854","8.061","11.891","8.414","10.849","11.948","18.075","1.730","5.249","135.246"
"3","GTLM","Jan Magnussen","2","1:20.714","4:37.142","Green","Track","0.652","7.240","7.519","11.265","8.105","10.303","12.154","16.246","1.722","5.508","126.534"
"911","GTLM","Patrick Pilet","2","1:21.650","4:39.838","Green","Track","0.642","7.141","7.392","11.854","8.417","10.539","12.121","16.363","1.708","5.473","128.505"
"912","GTLM","Earl Bamber","2","1:22.757","4:42.087","Green","Track","0.644","7.109","7.159","11.250","8.409","10.731","12.636","17.607","1.723","5.489","128.106"
"4","GTLM","Oliver Gavin","2","1:23.099","4:43.202","Green","Track","0.642","7.116","7.291","11.216","8.193","10.403","12.548","18.531","1.697","5.462","128.505"
"52","PC","Robert Alon","2","1:27.035","4:43.839","Green","Track","0.677","7.351","7.946","12.089","8.357","12.200","12.896","18.524","1.712","5.283","121.861"
"100","GTLM","John Edwards","2","1:21.754","4:44.676","Green","Track","0.634","7.047","7.148","11.099","8.140","10.306","12.112","18.105","1.713","5.450","130.126"
"25","GTLM","Bill Auberlen","2","1:28.410","4:49.259","Green","Track","0.634","7.048","7.755","12.180","8.620","16.001","12.602","16.460","1.687","5.423","130.126"
"8","PC","Alex Popow","2","1:21.705","4:51.128","Green","Track","0.616","6.925","7.529","11.538","8.153","10.447","12.234","17.276","1.697","5.290","133.929"
"62","GTLM","Toni Vilander","2","1:21.749","4:51.814","Green","Track","0.646","7.184","7.462","11.480","8.179","10.486","12.256","16.835","1.715","5.506","127.709"
"88","PC","Ashley Freiberg","2","1:23.183","4:57.088","Green","Track","0.610","6.863","8.168","11.772","8.002","10.544","12.067","18.209","1.695","5.253","135.246"
"85","PC","Stephen Simpson","2","1:20.832","4:57.318","Green","Track","0.612","6.867","7.454","11.627","7.986","10.587","11.937","16.917","1.654","5.191","134.804"
"60","P","John Pew","2","1:21.570","4:58.983","Green","Track","0.605","6.795","7.947","11.619","8.044","10.422","12.011","17.235","1.711","5.181","136.364"
"66","GTLM","Joey Hand","2","1:21.578","5:00.591","Green","Track","0.636","7.101","7.572","11.398","8.217","10.861","11.997","16.631","1.711","5.454","129.717"
"68","GTLM","Alessandro Balzan","2","1:20.982","5:03.146","Green","Track","0.644","7.154","7.450","11.317","8.057","10.290","12.206","16.642","1.730","5.492","128.106"
"0","P","Andy Meyrick","2","1:30.288","5:07.938","Green","Track","0.591","6.840","8.105","12.061","8.035","12.221","17.372","18.433","1.602","5.028","139.594"
"20","PC","Tomy Drissi","2","1:26.599","5:15.995","Green","Track","0.614","6.943","8.625","12.900","8.728","11.102","12.513","18.192","1.724","5.258","134.365"
"70","P","Tom Long","1","2:37.948","5:22.441","Green","Track","0.000","0.000","14.863","13.870","8.963","12.953","12.794","19.241","1.742","5.096","0.000"
"38","PC","Kyle Marcelli","2","1:26.054","5:22.997","Green","Track","0.608","6.856","9.906","12.237","8.351","10.709","12.414","18.055","1.707","5.211","135.691"
"10","P","Ricky Taylor","3","1:16.459","5:23.130","Green","Track","0.596","6.736","6.764","10.750","7.650","9.776","11.330","16.165","1.623","5.069","138.423"
"31","P","Dane Cameron","3","1:16.090","5:28.089","Green","Track","0.589","6.672","6.889","10.796","7.584","9.799","11.258","15.883","1.589","5.031","140.068"
"90","P","Marc Goossens","3","1:17.282","5:32.068","Green","Track","0.596","6.698","7.221","10.887","7.656","10.116","11.408","15.942","1.650","5.108","138.423"
"5","P","Christian Fittipaldi","3","1:16.482","5:33.047","Green","Track","0.592","6.653","7.091","10.920","7.636","9.803","11.244","15.841","1.632","5.070","139.358"
"54","PC","Jonathan Bennett","2","1:21.436","5:39.509","Green","Track","0.608","6.803","7.360","11.478","8.077","10.502","11.949","17.588","1.758","5.313","135.691"
"55","P","Jonathan Bomarito","1","3:02.681","5:43.252","Green","Track","0.000","0.000","15.479","13.472","8.734","37.442","13.274","18.995","1.764","5.099","0.000"
"3","GTLM","Jan Magnussen","3","1:19.507","5:56.649","Green","Track","0.645","7.189","7.312","11.070","7.991","10.152","12.080","15.895","1.706","5.467","127.907"
"911","GTLM","Patrick Pilet","3","1:19.307","5:59.145","Green","Track","0.641","7.123","7.294","11.061","7.986","10.214","11.897","15.971","1.687","5.433","128.705"
"912","GTLM","Earl Bamber","3","1:19.486","6:01.573","Green","Track","0.642","7.101","7.180","10.980","7.939","10.035","11.922","16.480","1.734","5.473","128.505"
"4","GTLM","Oliver Gavin","3","1:19.457","6:02.659","Green","Track","0.637","7.090","7.206","10.946","8.023","10.182","11.824","16.422","1.695","5.432","129.513"
"52","PC","Robert Alon","3","1:20.327","6:04.166","Green","Track","0.612","7.113","7.573","11.446","8.086","10.175","11.644","16.802","1.655","5.221","134.804"
"25","GTLM","Bill Auberlen","3","1:18.775","6:08.034","Green","Track","0.635","7.070","7.087","10.992","7.972","10.137","11.795","15.980","1.685","5.422","129.921"
"100","GTLM","John Edwards","3","1:25.641","6:10.317","Green","Track","0.635","7.049","7.353","11.277","8.235","10.271","16.775","16.891","1.714","5.441","129.921"
"8","PC","Alex Popow","3","1:20.733","6:11.861","Green","Track","0.617","6.897","7.348","11.497","8.163","10.304","12.085","16.914","1.688","5.220","133.712"
"62","GTLM","Toni Vilander","3","1:24.167","6:15.981","Green","Track","0.643","7.153","7.328","11.300","8.129","11.454","14.047","16.889","1.727","5.497","128.305"
"85","PC","Stephen Simpson","3","1:19.288","6:16.606","Green","Track","0.603","6.727","7.379","11.232","7.825","10.343","11.878","16.277","1.746","5.278","136.816"
"88","PC","Ashley Freiberg","3","1:22.042","6:19.130","Green","Track","0.610","6.854","7.798","11.727","8.028","10.543","11.997","17.593","1.674","5.218","135.246"
"60","P","John Pew","3","1:21.016","6:19.999","Green","Track","0.597","6.719","7.621","11.737","8.132","10.118","11.729","17.496","1.712","5.155","138.191"
"68","GTLM","Alessandro Balzan","3","1:20.422","6:23.568","Green","Track","0.641","7.102","7.326","11.086","7.979","10.188","12.139","16.728","1.752","5.481","128.705"
"66","GTLM","Joey Hand","3","1:24.380","6:24.971","Green","Track","0.638","7.087","7.346","11.291","8.102","10.172","12.001","20.571","1.721","5.451","129.310"
"0","P","Andy Meyrick","3","1:19.441","6:27.379","Green","Track","0.590","6.616","7.388","11.676","7.875","10.121","11.547","17.060","1.590","4.978","139.831"
"20","PC","Tomy Drissi","3","1:24.706","6:40.701","Green","Track","0.613","6.913","8.306","12.644","8.439","10.731","12.238","17.895","1.697","5.230","134.584"
"10","P","Ricky Taylor","4","1:18.520","6:41.650","Green","Track","0.593","6.676","7.454","11.957","8.003","9.972","11.214","16.017","1.585","5.049","139.123"
"70","P","Tom Long","2","1:22.042","6:44.483","Green","Track","0.590","6.612","7.954","11.940","8.106","11.100","11.779","17.257","1.674","5.030","139.831"
"38","PC","Kyle Marcelli","3","1:21.917","6:44.914","Green","Track","0.613","7.032","7.816","11.958","8.214","10.542","11.966","17.050","1.614","5.112","134.584"
"90","P","Marc Goossens","4","1:16.636","6:48.704","Green","Track","0.594","6.676","7.001","10.806","7.774","9.916","11.331","15.788","1.649","5.101","138.889"
"5","P","Christian Fittipaldi","4","1:16.266","6:49.313","Green","Track","0.592","6.639","6.877","10.807","7.628","9.824","11.464","15.772","1.614","5.049","139.358"
"31","P","Dane Cameron","4","1:29.807","6:57.896","Green","Pit","0.589","6.634","6.989","10.924","7.678","9.840","11.265","17.092","3.532","15.264","140.068"
"54","PC","Jonathan Bennett","3","1:20.304","6:59.813","Green","Track","0.613","6.827","7.398","11.378","8.027","10.146","11.853","17.056","1.730","5.276","134.584"
"55","P","Jonathan Bomarito","2","1:19.814","7:03.066","Green","Track","0.589","6.655","7.664","11.693","7.910","10.252","11.509","16.882","1.654","5.006","140.068"
"3","GTLM","Jan Magnussen","4","1:19.242","7:15.891","Green","Track","0.642","7.153","7.191","11.059","8.009","10.136","11.944","15.930","1.706","5.472","128.505"
"911","GTLM","Patrick Pilet","4","1:18.703","7:17.848","Green","Track","0.637","7.104","7.074","10.889","7.964","10.172","11.852","15.860","1.703","5.448","129.513"
"912","GTLM","Earl Bamber","4","1:18.845","7:20.418","Green","Track","0.638","7.089","7.036","10.916","7.934","10.074","11.810","16.137","1.736","5.475","129.310"
"4","GTLM","Oliver Gavin","4","1:19.077","7:21.736","Green","Track","0.636","7.058","7.216","10.987","7.999","10.128","11.820","16.118","1.688","5.427","129.717"
"52","PC","Robert Alon","4","1:19.621","7:23.787","Green","Track","0.610","6.822","7.553","11.220","7.920","10.249","11.720","16.652","1.659","5.216","135.246"
"25","GTLM","Bill Auberlen","4","1:18.536","7:26.570","Green","Track","0.634","7.057","6.992","10.937","7.887","10.051","11.807","15.972","1.734","5.465","130.126"
"100","GTLM","John Edwards","4","1:18.841","7:29.158","Green","Track","0.635","7.054","7.025","10.948","8.049","10.080","11.945","15.941","1.718","5.446","129.921"
"8","PC","Alex Popow","4","1:20.804","7:32.665","Green","Track","0.610","6.881","7.373","11.556","8.090","10.330","12.022","17.003","1.694","5.245","135.246"
"62","GTLM","Toni Vilander","4","1:20.252","7:36.233","Green","Track","0.640","7.167","7.247","11.253","8.036","10.281","12.107","16.312","1.718","5.491","128.906"
"85","PC","Stephen Simpson","4","1:22.775","7:39.381","Green","Track","0.609","6.798","7.530","11.228","7.945","10.654","13.145","18.051","1.625","5.190","135.468"
"88","PC","Ashley Freiberg","4","1:21.197","7:40.327","Green","Track","0.607","6.804","7.333","11.600","7.966","10.378","11.888","17.733","1.678","5.210","135.914"
"60","P","John Pew","4","1:20.807","7:40.806","Green","Track","0.596","6.713","7.446","11.758","8.108","10.072","11.943","17.389","1.653","5.129","138.423"
"68","GTLM","Alessandro Balzan","4","1:20.012","7:43.580","Green","Track","0.640","7.107","7.200","11.177","8.021","10.196","12.093","16.439","1.704","5.435","128.906"
"66","GTLM","Joey Hand","4","1:19.832","7:44.803","Green","Track","0.637","7.112","7.370","11.136","8.066","10.097","11.908","16.347","1.717","5.442","129.513"
"0","P","Andy Meyrick","4","1:18.454","7:45.833","Green","Track","0.587","6.599","7.277","11.384","7.966","9.971","11.480","16.606","1.583","5.001","140.545"
"10","P","Ricky Taylor","5","1:16.226","7:57.876","Green","Track","0.593","6.698","7.082","10.718","7.750","9.694","11.246","15.750","1.613","5.082","139.123"
"20","PC","Tomy Drissi","4","1:24.243","8:04.944","Green","Track","0.610","6.918","8.651","12.220","8.267","10.558","12.193","17.846","1.727","5.253","135.246"
"70","P","Tom Long","3","1:20.645","8:05.128","Green","Track","0.586","6.576","7.541","11.411","7.942","10.274","11.740","17.900","1.655","5.020","140.785"
"38","PC","Kyle Marcelli","4","1:22.527","8:07.441","Green","Track","0.601","6.763","7.407","11.377","8.094","10.296","11.971","17.542","1.653","6.823","137.271"
"5","P","Christian Fittipaldi","5","1:19.279","8:08.592","Green","Track","0.592","6.628","7.042","11.364","7.867","9.823","11.759","17.527","1.608","5.069","139.358"
"54","PC","Jonathan Bennett","4","1:20.012","8:19.825","Green","Track","0.611","6.852","7.200","11.294","7.947","10.223","11.828","17.078","1.713","5.266","135.025"
"55","P","Jonathan Bomarito","3","1:17.028","8:20.094","Green","Track","0.583","6.609","7.279","11.088","7.689","9.773","11.286","16.072","1.641","5.008","141.509"
"90","P","Marc Goossens","5","1:33.679","8:22.383","Green","Pit","0.592","6.674","7.538","11.901","7.859","9.947","11.569","18.019","4.207","15.373","139.358"
"3","GTLM","Jan Magnussen","5","1:18.943","8:34.834","Green","Track","0.642","7.151","7.190","11.030","7.955","10.075","11.875","15.857","1.697","5.471","128.505"
"911","GTLM","Patrick Pilet","5","1:18.192","8:36.040","Green","Track","0.637","7.094","7.012","10.882","7.832","9.966","11.809","15.851","1.676","5.433","129.513"
"4","GTLM","Oliver Gavin","5","1:18.342","8:40.078","Green","Track","0.633","7.061","7.087","10.877","7.918","9.973","11.757","15.885","1.702","5.449","130.332"
"52","PC","Robert Alon","5","1:19.131","8:42.918","Green","Track","0.608","6.798","7.351","11.192","7.963","10.166","11.710","16.435","1.666","5.242","135.691"
"25","GTLM","Bill Auberlen","5","1:18.091","8:44.661","Green","Track","0.635","7.049","6.929","10.945","7.888","9.978","11.755","15.750","1.713","5.449","129.921"
"100","GTLM","John Edwards","5","1:18.508","8:47.666","Green","Track","0.636","7.048","7.031","11.004","7.968","10.028","11.820","15.836","1.700","5.437","129.717"
"912","GTLM","Earl Bamber","5","1:30.158","8:50.576","Green","Pit","0.636","7.067","6.899","10.942","7.960","9.970","11.895","16.049","3.487","15.253","129.717"
"8","PC","Alex Popow","5","1:20.317","8:52.982","Green","Track","0.613","6.895","7.457","11.377","8.058","10.250","11.949","16.800","1.673","5.245","134.584"
"62","GTLM","Toni Vilander","5","1:19.976","8:56.209","Green","Track","0.641","7.137","7.133","11.240","8.077","10.166","11.983","16.406","1.705","5.488","128.705"
"85","PC","Stephen Simpson","5","1:18.295","8:57.676","Green","Track","0.609","6.804","7.286","11.051","7.755","10.272","11.712","15.960","1.650","5.196","135.468"
"68","GTLM","Alessandro Balzan","5","1:22.143","9:05.723","Green","Track","0.636","7.082","8.564","11.539","8.161","10.297","12.257","16.459","1.700","5.448","129.717"
"0","P","Andy Meyrick","5","1:27.057","9:12.890","Green","Track","0.586","6.551","9.192","12.400","8.031","11.743","13.848","18.123","1.587","4.996","140.785"
"66","GTLM","Joey Hand","5","1:32.837","9:17.640","Green","Pit","0.635","7.071","8.434","11.402","8.201","10.312","11.947","16.495","3.181","15.159","129.921"
"60","P","John Pew","5","1:40.768","9:21.574","Green","Pit","0.597","6.635","13.497","12.568","8.065","10.239","11.891","17.532","4.250","15.494","138.191"
"70","P","Tom Long","4","1:19.884","9:25.012","Green","Track","0.584","6.646","8.602","11.417","7.864","10.056","11.578","16.475","1.645","5.017","141.267"
"10","P","Ricky Taylor","6","1:28.992","9:26.868","Green","Pit","0.598","6.723","7.071","10.803","7.719","9.770","11.251","16.046","3.770","15.241","137.960"
"5","P","Christian Fittipaldi","6","1:19.213","9:27.805","Green","Track","0.598","6.680","7.800","11.540","8.420","9.944","11.651","15.926","1.601","5.053","137.960"
"20","PC","Tomy Drissi","5","1:28.427","9:33.371","Green","Track","0.611","7.065","9.553","12.847","9.587","11.033","12.803","17.930","1.736","5.262","135.025"
"38","PC","Kyle Marcelli","5","1:26.035","9:33.476","Green","Track","0.920","8.728","10.506","12.006","8.133","10.443","11.940","16.640","1.633","5.086","89.674"
"55","P","Jonathan Bomarito","4","1:18.660","9:38.754","Green","Track","0.585","6.873","8.038","11.098","7.716","10.018","11.434","16.276","1.633","4.989","141.026"
"54","PC","Jonathan Bennett","5","1:20.157","9:39.982","Green","Track","0.613","6.834","7.321","11.292","8.077","10.080","11.720","17.295","1.706","5.219","134.584"
